,Acc_X_AD,Acc_Y_AD,Acc_Z_AD,Rot_X,Rot_Y,Rot_Z
0,0.219528255,1.456914539,-1.495097626,0.095313779,-1.124520184,-0.820843433
1,0.162888867,1.545006751,-1.308877616,-0.033794487,-1.273645609,-0.712132251
2,-0.233586855,1.509769866,-1.122657605,-0.148147523,-1.378499424,-0.629417222
3,-0.545103493,1.439296097,-1.039893155,-0.221923675,-1.457722306,-0.525432613
4,-0.856620131,1.24549323,-0.750217583,-0.310455058,-1.52296468,-0.440354297
5,-1.30973524,0.646466189,-0.667453134,-0.376853595,-1.581216799,-0.364729127
6,-1.281415546,0.329334226,-0.398468673,-0.450629747,-1.632478664,-0.298557103
7,-1.507973101,-0.163982162,-0.232939775,-0.539161129,-1.66976002,-0.241838225
8,-1.706210962,-0.8863383,-0.129484213,-0.612937281,-1.702381207,-0.201662354
9,-1.819489739,-1.362036245,0.160191359,-0.627692512,-1.730342224,-0.159123196
10,-1.677891267,-1.679168208,0.408484707,-0.494895438,-1.735002393,-0.111857464
11,-1.621251878,-1.872971075,0.574013606,-0.118637062,-1.693060868,-0.062228447
12,-1.366374629,-1.820115747,0.449866932,0.490016193,-1.574226544,-0.014962715
13,-1.083177686,-1.608694439,0.242955809,1.205644868,-1.41578078,0.027576443
14,-0.686701964,-1.221088706,-0.005337539,1.884385467,-1.248014677,0.065389028
15,-0.233586855,-1.027285839,-0.253630887,2.393440916,-1.089568913,0.096111753
16,0.389446422,-0.639680106,-0.357086449,2.68116791,-0.96141425,0.124471192
17,0.955840309,-0.128745277,-0.501924235,2.769699292,-0.865880775,0.152830631
18,1.35231603,0.188386686,-0.915746481,2.703300755,-0.80995874,0.176463496
19,1.578873585,0.540755534,-0.729526471,2.481972299,-0.788987977,0.223729227
20,2.173587167,0.593610862,-0.750217583,2.087269885,-0.798308316,0.322987263
21,2.683341665,0.646466189,-0.522615347,1.592969666,-0.826269334,0.422245299
22,2.853259831,0.646466189,-0.170866438,1.098669447,-0.835589673,0.502597042
23,2.881579526,0.558373977,0.139500247,0.681834188,-0.807628656,0.571132352
24,2.853259831,0.452663322,0.387793595,0.408862425,-0.751706621,0.651484095
25,2.598382582,0.382189553,0.367102482,0.298198197,-0.688794332,0.757831991
26,2.428464416,0.223623571,0.470558044,0.290820582,-0.635202383,0.864179886
27,2.315185638,0.206005129,0.367102482,0.312953428,-0.588600687,0.958711348
28,2.116947778,0.170768244,0.367102482,0.305575812,-0.544329077,1.029609945
29,1.833750834,0.100294474,0.305029146,0.30926462,-0.472096449,1.088692109
30,1.720472057,0.100294474,0.222264696,0.320331043,-0.383553228,1.135957841
31,1.465594807,0.100294474,0.222264696,0.364596734,-0.285689667,1.15722742
32,1.125758475,0.223623571,0.139500247,0.434684078,-0.173845598,1.169043853
33,0.927520614,0.223623571,0.056735798,0.523215461,-0.055011275,1.171407139
34,0.672643365,0.311715783,0.056735798,0.596991613,0.066153133,1.159590706
35,0.44608581,0.43504488,0.098118022,0.659701342,0.182657371,1.15013756
36,0.389446422,0.523137092,0.07742691,0.700278226,0.292171355,1.128867981
37,0.24784795,0.646466189,0.036044685,0.707655841,0.39702517,1.105235115
38,0.162888867,0.699321516,0.056735798,0.689211803,0.492558645,1.072149103
39,0.077929783,0.857887498,0.139500247,0.656012535,0.581101867,1.046152951
40,0.077929783,0.87550594,0.160191359,0.600680421,0.655664579,1.024883372
41,-0.0070293,0.893124382,0.201573584,0.497393808,0.713916698,1.013066939
42,-0.120308077,0.893124382,0.284338033,0.371974349,0.769838733,0.994160647
43,-0.063668688,0.87550594,0.470558044,0.246554891,0.811780259,0.970527781
44,-0.091988383,0.87550594,0.449866932,0.132201855,0.839741276,0.942168343
45,-0.290226243,0.752176843,0.34641137,0.017848819,0.872362463,0.927988623
46,-0.176947466,0.787413728,0.574013606,-0.103881832,0.904983649,0.920898763
47,-0.290226243,0.681703074,0.408484707,-0.207168445,0.937604836,0.913808904
48,-0.120308077,0.628847746,0.739542504,-0.299388635,0.960905684,0.91617219
49,-0.346865632,0.575992419,0.532631381,-0.373164787,1.000517125,0.887812752
50,-0.346865632,0.50551865,0.470558044,-0.439563324,1.040128566,0.850000167
51,-0.346865632,0.470281765,0.511940269,-0.480140207,1.075079838,0.809824295
52,-0.290226243,0.43504488,0.429175819,-0.520717091,1.110031109,0.769648423
53,-0.261906549,0.470281765,0.429175819,-0.561293975,1.140322211,0.731835838
54,-0.290226243,0.399807995,0.429175819,-0.601870858,1.168283228,0.694023253
55,-0.318545938,0.470281765,0.449866932,-0.631381319,1.191584076,0.663300528
56,-0.346865632,0.311715783,0.449866932,-0.657202972,1.212554839,0.642030949
57,-0.20526716,0.399807995,0.532631381,-0.686713433,1.233525602,0.590038645
58,-0.063668688,0.36457111,0.636086943,-0.697779856,1.235855687,0.535683054
59,0.077929783,0.399807995,0.636086943,-0.705157471,1.233525602,0.490780609
60,-0.120308077,0.382189553,0.511940269,-0.716223894,1.233525602,0.455331311
61,-0.148627771,0.43504488,0.553322493,-0.73835674,1.224205263,0.412792152
62,-0.233586855,0.593610862,0.69816028,-0.727290317,1.210224754,0.424608585
63,-0.233586855,0.593610862,0.739542504,-0.668269395,1.226535347,0.403339006
64,-0.233586855,0.664084631,0.677469167,-0.66089178,1.228865432,0.348983415
65,-0.261906549,0.716939958,0.801615841,-0.690402241,1.228865432,0.31117083
66,-0.431824715,0.699321516,0.905071403,-0.708846279,1.235855687,0.287537965
67,-0.346865632,0.646466189,1.029218077,-0.705157471,1.261486619,0.268631672
68,-0.431824715,0.611229304,1.111982526,-0.671958203,1.294107806,0.23554566
69,-0.290226243,0.664084631,1.277511425,-0.598182051,1.315078569,0.209549508
70,-0.176947466,0.611229304,1.298202537,-0.505961861,1.352359925,0.17410021
71,-0.261906549,0.646466189,1.380966986,-0.446940939,1.387311197,0.131561052
